id,unit,make,model,model_year,vin,plate,status,location,decision,notes
513517264,4544,Fruehauf,,2000,OR79591,HU25242,Active,OTR,,
1365818410,48,Fruehauf,,,DJ010725,HU48503,Active,OTR,,
1765938364,48082,Fruehauf,,2000,4V04827EJ045553,4CA9264,To BE Scrapped,Seasonal Storage,,
1316052560,4821,Great Dane,,,1GRAA9628TB081908,,Active,OTR,,
1789731428,483,Trailer,,1984,1FT01FAAXE9000551,HS95656,Active,OTR,,
2141566863,5,Chevy,Astro,2001,1GNDM19W91B134537,966KVC,Active,Maintenance,,
1250204544,5 VL,VolksWagon,Jetta R Line,2020,3VWCB7BU7LM016677,953 FZP,Active,LIFT Program,,
865478811,50,,,,,HR24037,Active,OTR,,
959223417,5053-B,Trailmobile,,1996,1PT01JAH8T007836,HU48573,Active,OTR,,
941321134,509,Converter Dolly,,,,,Active,NULL,,
929163439,5308a,,,,,HV12432,Active,OTR,,
331602663,531,Hyundai,,1999,3H3V532C6XT044715,HV4500,Active,OTR,,
1417932726,53101,Hyundai,,1995,3H3V532G3ST000230,85759,Active,OTR,,
501638910,53176,,,,,,Active,OTR,,
2046888764,532551,Strick,,1998,1S12e9536wd419872,HV12489,To BE Scrapped,OTR California,,
731496399,535565,Great Dane,,2001,,HV29541,Scrapped,OTR California,,
1153943812,536050,Strick,,2000,,,Active,OTR California,,
1620244021,53641,Wabash,,2000,1JJV532W5YL654083,HU48745,Active,OTR,,
622318371,53650,,,,,,Active,OTR,,
2017170925,536851,Great Dane,,2003,1GRAA06233K252429,,Scrapped,OTR California,,
893494708,537059,Great Dane,,2003,1GRAA062X3D403481,,Active,OTR California,,
1100087818,537311,Great Dane,,2003,,,Active,OTR California,,
1580847235,537374,Great Dane,,2003,1GRAA06293K254587,HV12493,Active,DR3  Woodland,,
1474451196,537646,Great Dane,,2006,1GRAA06206J616154,,Active,OTR California,,
124209707,5379,Strick,,,TG720039,,Active,OTR,,
1749104658,5395,Wabash,,2000,1JJG532W9XL590712,HU54558,Active,OTR,,
16560264,541427,,,,,,Out of Service,DR3 Stockton,,
1835569505,59,,,,1S11E8283KG313149,HV00737,Active,OTR,,
2141566864,6,Ford,Ranger,1995,1FTCR14XXSPA70289,YVR617,Active,Maintenance,,
468539098,63,Fruehauf,,1984,1H2VO2811EHO21969,HR14951,To BE Scrapped,General Stores,,
1478202433,65,,,,,HR28311,Active,OTR,,
879613594,66,Toyota,Corolla,2021,JTDEPMAE7MJ120297,126 MTA,Active,Maintenance,,
2141566865,7,Ford,F250,1994,1FTHX25GXSKA03186,894DLQ,Active,Maintenance,,
1763809095,78,Utility_Trailer,,1987,1UYVS1285HC753527,1VX2755,Active,Seasonal Storage,,
1354110042,797983,Wabash,,1999,1JJV532FBY633436,HV64607,Active,OTR,,
1914938917,8 Lift,Nissan,Altima,2010,1N4AL2AP4AC171486,770HTR,Active,LIFT Program,,
119729415,810,,,1998,11VAA12E0WA0000072,CN04575,Active,Cleveland WareHouse,,
2141566855,813,FrieghtLiner,,2020,1FUJHLDR8LLLU2007,,Active,OTR,,
1945356021,83,,,1987,1nnva2814hm110597,HR25190,Out of Service,OTR,,
185655595,85,,,,,HU05067,Active,OTR California,,
1064309469,8918036,Trailmobile,,1990,1PT01FAHUM9003485,HS67297,Active,Seasonal Storage,,
1440285170,89716,Wabash,,1996,05299,,Active,OTR,,
698684031,901551,Strick,,2004,,,Active,OTR,,
1486167850,901666,Strick,,2004,1S11E92884E499209,HV46818,Active,DR3  Woodland,,
460855312,908,,,1984,1H2V0281XEH06093,T171720,Active,Store Loads,,
1767602436,948,Wabash,,2001,1JJV532W61L668709,HU66774,Active,General Stores,,
1604705179,99149,Wabash,,,103359,,Active,OTR,,
1373526578,99254,,,,419872,,Active,OTR,,
2141566861,Bus 5,Ford,E450,2004,1FDXE45F34HA27651,CN04919,Active,Maintenance,,
2141566851,C1,Toyota,Rav 4,2015,JTMWFREV5FDD54591,717QPA,Active,Housing Services,,
2141566852,C2,Toyota,Camry,2017,4T1BF1FK9HU423083,719QPA,,Housing Services,,
609861417,DR311,Toyota,Corolla,2021,JTDEPMAE3MJ117560,,Active,General Stores,,
1626014066,DV-2547,,,,,HV64611,Active,NULL,,
86504520,DV2505,Utility_Trailer,,2001,1UYVS24801P480711,HV64502,Active,OTR,,
52380252,DV2524,Great Dane,,2006,1GRAA06266T522896,HV64606,Active,OTR,,
1595277049,DV2547,Hyundai,,2004,3H3V532C04T052031,,Active,OTR,,
2141566862,Egan,GMC,CB400,1998,J8DC4B1K1W7001945,CN03929,Active,Maintenance,,
2141566866,EQ1373,T-Rex,TDS815,,24892,,Active,DR3  Woodland,,
71424610,EQ42,,,,,,Active,Mattress shop,,
1208813987,EQ49,,Generator - Whisperwatt Model DCA70SSIU4F,,7305792,,Active,DR3 Stockton,,
1942724506,EQ64,General Hydraulics,XD 3042630,,10904,,Active,Mattress shop,,
390234888,EQ80,,F-30-J Compressor,Quincy northwest,920321,,Active,Mattress shop,,
330365351,EQ81,,Oven 1,2024,0001,,Active,Mattress shop,,
527747989,EQ82,,T60XDRC Harmony clothing Baler,2018,0366,,Active,Seneca,,
1848420238,F34,,Clark,,Gp138mb6106835fa,,Active,Car Lot,,
1321997809,f9,,,,,,Active,Car Lot,,
473879551,F99,Hyster,,2013,F187v25175L,,Active,The Dalles,,
790165138,G30,,,2000,1DW1A3019JS537901,E280043,Active,OTR,,
1164591241,GS11,Toyota,Corolla,2021,JTDEPMAE3MJ117560,,Active,General Stores,,
2141566869,GS12,Toyota,Corolla,2021,JTDEPMAE7MJ120297,,,Maintenance,,
1347046435,Lift 2,,,,,770HTR,Active,LIFT Program,,
879426099,M1,Dodge,RAM,1996,2B5WB35Z8TK168848,146PFW,Active,Maintenance,,
2141566857,M100,Chevy,Express,1999,1GCFG15R6X1043426,146PFW,Active,Maintenance,,
1864001358,M101,Chevrolet,,2011,1GCRCPEX9BZ145792,408FJV,Active,Maintenance,,
1159477543,M102,GMC,Savana 2500,2019,1GTW7AFG1K1301714,755MSS,Active,Maintenance,,
2102035203,M103,Chevrolet,Express 2500,2019,1GCWAFG7K1345197,009MST,Active,Maintenance,,
1101830259,M104,Ford,E350,2010,DA81337,,Active,Maintenance,,
1502300383,M104,Ford,EC350,2010,1FBSS3BL6ADA813374,753 PBQ,Active,Maintenance,,
1903530602,M106,Ford,Van,2014,1FBSS3BL0EDA66788,691HKZ,Active,Maintenance,,
244599339,M107,Chevrolet,Astro VAn,2000,1GCDM19W7YB11449,696MPT,Active,Maintenance,,
2141566858,M109,Ford,,2005,1FTNE24L45HA07274,,Active,Maintenance,,
1281875591,M110,Toyota,Tundra,2005,5TBBT44135S464911,157BTM,Active,Maintenance,,
344184636,M111,Ford,E 350 Econline,2002,1FBSS31L82HB48354,ZVD062,Active,Maintenance,,
2141566856,M115,Chevy,Suburban,1995,1GNFK16K8SJ352704,712QJJ,Active,Maintenance,,
1697496718,M17,Ford,F350,2001,1FDWF36S81EB64146,CN04568,Active,Maintenance,,
2141566859,M2,Nissan,Pickup,1996,1N6SD16SOTC379321,324KKJ,Active,Maintenance,,
501990533,M23,Subaru,Forester,2012,JF2SHADCXCH456798,390PZC,Active,Maintenance,,
2141566860,M24,Chevy,Silverado,1997,1GCEC19R6VE164044,817HYV,Active,Maintenance,,
1742144889,M3,GMC,Savanah,,1GTFG29W3W1072483,404 MYU,Sold,Maintenance,,
1790194952,M99,Ford,F350,2001,1FTWW32S81ED50960,CN04514,Active,Maintenance,,
2007021843,NISS,Nissan,,1996,1N65D16S0TC3749321,324 KKJ,Active,Resident Services,,
1842635018,O5,Comet,,,1C0V28014NS039100,Ho5025,Active,OTR California,,
1291593051,PM5,Saturn,,2007,1G8zY57767F285104,,Active,Property Management,,
1022073074,RS 102,Ford,Escape,2006,1FMYU92Z26KD10974,9Q2666,Active,Resident Services,,
1841921437,RS 103,Ford,Escape,2017,1FMCU9G91HUE48578,312 KER,Active,Resident Services,,
223791379,S213,Buick,Le Sabre,2005,1G4HP52K15U181227,,Active,General Stores,,
561245925,SS201,GMC,Savanna 2500,2019,1GTW7AFGXK1372703,784MTK,Active,lindholm center,,
1171260108,SSVF #2,Toyota,Rav 4,2003,JTEGH20V230107761,776 KLX,Scrapped,SUpportive Services For Veterans Families,,
245982001,SSVF #3,Toyota,Prius,2005,JTDKB20U453007217,779 KLX,Active,SUpportive Services For Veterans Families,,
1295233433,SSVF 4,Subaru,Legacy,2005,4S3BP626057302573,542 BZP,Active,SUpportive Services For Veterans Families,,
27448768,SSVF 6,VolksWagon,Jetta SE,2020,3VWCB7BU4LM023201,253MJP,Active,LIFT Program,,
536453010,T1,,,,,U545801,Active,Egan,,
2141566854,Truck 579310,FrieghtLiner,Cascadia,2026, 3AKJHHDRXTSWU8076,,Active,OTR,,
2141566853,Truck 579311,FrieghtLiner,Cascadia,2026,3AKJHHDR1TSWU8077,,Active,OTR,,
848150016,Van 21,Dodge,Ram 350,1993,2B5WB35Z1RK572874,TTT157,Scrapped,Maintenance,,
543614262,Van 9,Ford,E350,1994,,TUH727,Active,Maintenance,,
925234751,Youth a Family Van,Chevrolet,Express,2001,1GBJG31R011239210,CN04270,Active,Youth And Family Services,,
2137556437,ZCD062,Chevrolet,Express,2016,1GBWGFFG8G1289988,ZCD062,Active,Connections,,
